Time,Total_reqs_processed,Avg_utilization,total_bytes_processed,total_pending_reqs,total_pending_respSize,total_requests_forwarded,total_size_of_requests_forwarded,total_pending_forwarded_requests,size_of_pending_forwarded_requests,Consolidated average # requests in system,Consolidated Average Response Size
8.192e+06,731615,0.924121,747717514648,367,382245480,72882,97113194496,0,0,355.029,1.04952e+06
1.6384e+07,1462945,0.923801,1494829643448,340,330099016,146416,195023593472,0,0,357.297,1.04938e+06
2.4576e+07,2193830,0.92362,2241733559112,359,362958008,219778,292705153024,0,0,357.597,1.04943e+06
3.2768e+07,2924465,0.923416,2988209830992,386,375096240,292637,389694132224,0,0,357.542,1.04935e+06
4.096e+07,3656212,0.923543,3735858009256,361,370596696,365812,487113859072,0,0,357.359,1.04933e+06
4.9152e+07,4387798,0.923491,4482736530352,293,302079056,438977,584603045888,0,0,357.42,1.04921e+06
5.7344e+07,5118478,0.923387,5229170469752,324,343688328,511850,681734135808,0,0,357.104,1.04921e+06
6.5536e+07,5846970,0.922995,5973239579760,328,333347728,584711,778730217472,0,0,357.02,1.04917e+06
7.3728e+07,6578329,0.923105,6720831625768,374,379061720,657907,876144435200,0,0,357.076,1.04922e+06
8.192e+07,7309658,0.923203,7468513713416,326,328086264,731128,973667745792,0,0,357.056,1.04929e+06
