Time,Total_reqs_processed,Avg_utilization,total_bytes_processed,total_pending_reqs,total_pending_respSize,total_requests_forwarded,total_size_of_requests_forwarded,total_pending_forwarded_requests,size_of_pending_forwarded_requests,Consolidated average # requests in system,Consolidated Average Response Size
8.192e+06,729381,0.909227,744838381856,46,39603936,0,0,0,0,29.9314,1.02118e+06
1.6384e+07,1459374,0.909764,1490557304608,33,29757664,0,0,0,0,30.3242,1.02136e+06
2.4576e+07,2190031,0.910482,2237600971904,22,19125120,0,0,0,0,30.4424,1.02172e+06
3.2768e+07,2919567,0.910284,2982819677632,41,40024640,0,0,0,0,30.4412,1.02166e+06
4.096e+07,3648857,0.910136,3727915024800,41,44121696,0,0,0,0,30.5989,1.02167e+06
4.9152e+07,4379065,0.91032,4474406867296,23,22351520,0,0,0,0,30.7843,1.02177e+06
5.7344e+07,5110489,0.91064,5221976796096,13,11789376,0,0,0,0,30.8642,1.02182e+06
6.5536e+07,5841781,0.91085,5969343391424,24,20785472,0,0,0,0,30.9528,1.02184e+06
7.3728e+07,6573558,0.911065,6717102622368,20,17709408,0,0,0,0,31.0601,1.02184e+06
8.192e+07,7304652,0.911209,7464627529344,19,14272896,0,0,0,0,31.0914,1.0219e+06
