Time,Server_no,Pending_Requests,Pending_req_size,Processed Requests,Processed req size,# Requests Forwarded,Size of Requests Forwarded,# Forwarded Requests Received,Size of Forwarded Requests Received,# Pending Forwarded Requests Received,Size of Pending Forwarded Requests Received,Utilization,Busy Time,Average Service Rate,Average # requests in system,Average Response Time,Average Response Size
8.192e+06,0,4,2524512,146503,149806156448,1569,2106073088,1636,2183241728,0,0,0.914344,7.49031e+06,0.019559,5.5546,311.301,1.02592e+06
8.192e+06,1,2,2178624,146521,149787509184,1594,2140753920,1611,2160984064,0,0,0.91423,7.48938e+06,0.0195638,5.6902,318.443,1.02575e+06
8.192e+06,2,9,7959584,146221,149406821344,1577,2104471552,1685,2253787136,0,0,0.911907,7.47034e+06,0.0195735,5.53307,310.726,1.02512e+06
8.192e+06,3,2,1699744,146499,149835079776,1612,2164842496,1451,1936703488,0,0,0.914521,7.49175e+06,0.0195547,5.53839,309.921,1.02625e+06
8.192e+06,4,16,15539296,145460,148828631968,1555,2064613376,1524,2046038016,0,0,0.908378,7.44143e+06,0.0195473,5.40095,304.642,1.02637e+06
1.6384e+07,0,1,440864,292983,299354068448,3113,4170084352,3447,4600496128,0,0,0.913556,1.49677e+07,0.0195743,5.48604,307.783,1.02509e+06
1.6384e+07,1,1,137440,292376,298665862944,3121,4175486976,3241,4343054336,0,0,0.911456,1.49333e+07,0.0195788,5.51085,309.483,1.02485e+06
1.6384e+07,2,2,1180256,292405,298892713376,3205,4268417024,3251,4345634816,0,0,0.912148,1.49446e+07,0.0195659,5.58255,313.305,1.02554e+06
1.6384e+07,3,1,813888,291853,298477941952,3193,4286074880,3086,4113321984,0,0,0.910882,1.49239e+07,0.0195561,5.49316,308.821,1.02616e+06
1.6384e+07,4,0,0,291865,298460495872,3230,4295311360,2837,3792867328,0,0,0.910829,1.4923e+07,0.019558,5.62297,315.535,1.02596e+06
2.4576e+07,0,3,1981440,438893,448675529728,4694,6285049856,5172,6907551744,0,0,0.912833,2.24338e+07,0.0195639,5.58849,313.785,1.02564e+06
2.4576e+07,1,7,7162880,438925,448596894720,4755,6359830528,4712,6299983872,0,0,0.912673,2.24298e+07,0.0195688,5.59904,313.881,1.02542e+06
2.4576e+07,2,5,3992800,438470,448300811040,4812,6405558272,4872,6504435712,0,0,0.91207,2.2415e+07,0.0195614,5.60334,314.591,1.02577e+06
2.4576e+07,3,4,3835296,438431,448322501216,4867,6521876480,4563,6080311296,0,0,0.912114,2.24161e+07,0.0195587,5.55195,311.574,1.02605e+06
2.4576e+07,4,1,931904,437868,447792129984,4774,6352666624,4583,6132699136,0,0,0.911035,2.23896e+07,0.0195568,5.5705,313.023,1.02599e+06
3.2768e+07,0,0,0,584695,597670461440,6233,8339427328,6821,9103392768,0,0,0.911973,2.98835e+07,0.0195658,5.54062,311.345,1.02552e+06
3.2768e+07,1,16,16016480,584954,598037916576,6312,8440524800,6393,8534503424,0,0,0.912533,2.99019e+07,0.0195624,5.56192,312.049,1.02573e+06
3.2768e+07,2,21,19116992,584880,597834058816,6376,8498335744,6479,8651112448,0,0,0.912222,2.98917e+07,0.0195666,5.60324,314.416,1.02549e+06
3.2768e+07,3,3,2137440,584854,597853938336,6497,8686911488,6032,8042799104,0,0,0.912253,2.98927e+07,0.0195651,5.57376,312.656,1.02569e+06
3.2768e+07,4,5,5391520,583546,596580674400,6370,8472473600,6063,8105865216,0,0,0.91031,2.9829e+07,0.019563,5.54159,311.473,1.02566e+06
4.096e+07,0,0,0,731298,747771305984,7838,10484281344,8421,11242131456,0,0,0.912807,3.73886e+07,0.0195594,5.57519,312.99,1.02587e+06
4.096e+07,1,1,806048,730974,747273716576,7829,10459037696,8196,10945765376,0,0,0.912199,3.73637e+07,0.0195638,5.52494,310.329,1.02562e+06
4.096e+07,2,1,864512,731567,747659292416,8003,10664935424,8119,10839912448,0,0,0.91267,3.7383e+07,0.0195695,5.63116,315.823,1.02536e+06
4.096e+07,3,9,10242176,731505,747740428160,8154,10890432512,7586,10108854272,0,0,0.912769,3.7387e+07,0.0195657,5.62848,315.46,1.02565e+06
4.096e+07,4,7,7386592,729997,746552584736,8035,10694881280,7537,10056904704,0,0,0.911319,3.73276e+07,0.0195565,5.59579,314.177,1.02604e+06
4.9152e+07,0,2,1722560,877123,896959698752,9375,12529909760,10169,13567852544,0,0,0.912435,4.4848e+07,0.0195577,5.56234,312.504,1.02593e+06
4.9152e+07,1,0,0,877359,896752824320,9483,12652134400,9643,12878020608,0,0,0.912224,4.48376e+07,0.0195675,5.56247,312.194,1.02544e+06
4.9152e+07,2,4,2637536,877481,896888590624,9631,12833439744,9687,12919648256,0,0,0.912362,4.48444e+07,0.0195672,5.63654,316.238,1.02549e+06
4.9152e+07,3,1,271040,877901,897239063872,9757,13026295808,9182,12234133504,0,0,0.912719,4.4862e+07,0.0195689,5.6303,315.566,1.02547e+06
4.9152e+07,4,4,2460480,875912,895435637952,9584,12754743296,9149,12196868096,0,0,0.910884,4.47718e+07,0.0195639,5.59471,314.236,1.02563e+06
5.7344e+07,0,1,675072,1023638,1046852682496,10982,14679875584,11923,15902244864,0,0,0.912783,5.23426e+07,0.0195565,5.58596,313.748,1.02601e+06
5.7344e+07,1,11,8636608,1023421,1045942536000,11047,14738427904,11231,14997839872,0,0,0.91199,5.22971e+07,0.0195694,5.561,312.165,1.02534e+06
5.7344e+07,2,3,2266720,1023387,1046130514336,11239,14976131072,11360,15160229888,0,0,0.912153,5.23065e+07,0.0195652,5.63574,316.315,1.02559e+06
5.7344e+07,3,3,3623712,1024226,1046892537056,11454,15295483904,10553,14066499584,0,0,0.912818,5.23446e+07,0.019567,5.6385,315.93,1.0256e+06
5.7344e+07,4,2,1544640,1021919,1044678999616,11175,14882185216,10830,14445289472,0,0,0.910888,5.22339e+07,0.0195643,5.60246,314.712,1.02562e+06
6.5536e+07,0,5,5566976,1169280,1195695971840,12523,16722919424,13663,18216505344,0,0,0.912244,5.97848e+07,0.0195581,5.58338,313.734,1.02591e+06
