Time,Total_reqs_processed,Avg_utilization,total_bytes_processed,total_pending_reqs,total_pending_respSize,total_requests_forwarded,total_size_of_requests_forwarded,total_pending_forwarded_requests,size_of_pending_forwarded_requests,Consolidated average # requests in system,Consolidated Average Response Size
8.192e+06,1527077,0.763539,625491352800,12,4301600,5538,2268364800,0,0,10.124,409600
1.6384e+07,3055890,0.763973,1251692951200,7,2460000,11112,4551475200,0,0,10.1318,409600
2.4576e+07,4583651,0.763942,1877464499200,13,4275200,16741,6857113600,0,0,10.1279,409600
3.2768e+07,6109967,0.763746,2502643003200,11,3985600,22171,9081241600,0,0,10.1148,409600
4.096e+07,7637858,0.763786,3128467277600,6,1816800,27600,11304960000,0,0,10.1104,409600
4.9152e+07,9163712,0.763643,3753456618400,5,1864800,33062,13542195200,0,0,10.1047,409600
5.7344e+07,10691766,0.763698,4379348134400,22,8230400,38560,15794176000,0,0,10.112,409600
6.5536e+07,12217503,0.763594,5004290033600,4,833600,44089,18058854400,0,0,10.1084,409600
7.3728e+07,13744661,0.763592,5629813686400,8,2736000,49611,20320665600,0,0,10.1118,409600
8.192e+07,15270433,0.763522,6254770267200,7,1956800,55124,22578790400,0,0,10.1076,409600
