Time,Total_reqs_processed,Avg_utilization,total_bytes_processed,total_pending_reqs,total_pending_respSize,total_requests_forwarded,total_size_of_requests_forwarded,total_pending_forwarded_requests,size_of_pending_forwarded_requests,Consolidated average # requests in system,Consolidated Average Response Size
8.192e+06,593718,0.791524,648416261056,137614,99045882944,364658,484812955648,178,236654592,69367.6,1.26785e+06
1.6384e+07,1188553,0.792523,1298469368768,274209,196616887360,730355,971015938048,172,226529280,137659,1.26791e+06
2.4576e+07,1784019,0.793082,1949079077824,410962,294247337024,1096553,1457788284928,172,229167104,205939,1.2679e+06
3.2768e+07,2379176,0.793229,2599252693952,547626,392076069952,1462375,1944154607616,196,261873664,274231,1.26792e+06
4.096e+07,2973385,0.792972,3248013292480,682835,488922127424,1827251,2429042556928,176,229224448,342474,1.26787e+06
4.9152e+07,3567689,0.792885,3897186632640,819113,586453687360,2192408,2914396606464,194,249933824,410630,1.26785e+06
5.7344e+07,4161504,0.792715,4545745843136,954792,683407088704,2557062,3399106359296,183,240476160,478723,1.26786e+06
6.5536e+07,4756922,0.792945,5196645516224,1091645,781288979520,2923403,3886167871488,184,242315264,546763,1.26788e+06
7.3728e+07,5351310,0.792953,5846284727232,1227883,878249126976,3288895,4371967225856,186,242458624,614854,1.26788e+06
8.192e+07,5945476,0.792871,6495199544256,1364861,976216984640,3653819,4857052819456,191,253235200,683020,1.26787e+06
