Time,Total_reqs_processed,Avg_utilization,total_bytes_processed,total_pending_reqs,total_pending_respSize,total_requests_forwarded,total_size_of_requests_forwarded,total_pending_forwarded_requests,size_of_pending_forwarded_requests,Consolidated average # requests in system,Consolidated Average Response Size
8.192e+06,730426,0.911129,746397059328,29,23516928,7980,10647928832,0,0,27.4828,1.02523e+06
1.6384e+07,1461596,0.911513,1493423075552,24,23617312,15897,21150765056,0,0,27.5634,1.0251e+06
2.4576e+07,2194563,0.912506,2242573899648,21,18741376,24030,31989432320,0,0,27.8717,1.02523e+06
3.2768e+07,2924184,0.911843,2987927354912,21,20054496,31967,42575998976,0,0,27.8008,1.02515e+06
4.096e+07,3653567,0.911431,3733219342464,18,13174656,39743,52930289664,0,0,27.6881,1.02514e+06
4.9152e+07,4384725,0.911459,4480004972416,32,27525248,47678,63515742208,0,0,27.7091,1.02507e+06
5.7344e+07,5115766,0.911495,5226875844224,33,31197568,55628,74098167808,0,0,27.7326,1.02506e+06
6.5536e+07,5846950,0.911515,5973704162432,59,58565504,63563,84653998080,0,0,27.7531,1.02501e+06
7.3728e+07,6578272,0.911583,6720918600288,26,25150880,71486,95197589504,0,0,27.7695,1.02502e+06
8.192e+07,7308965,0.911638,7468140856928,41,35522976,79663,106109173760,0,0,27.8457,1.02512e+06
