Time,Total_reqs_processed,Avg_utilization,total_bytes_processed,total_pending_reqs,total_pending_respSize,total_requests_forwarded,total_size_of_requests_forwarded,total_pending_forwarded_requests,size_of_pending_forwarded_requests,Consolidated average # requests in system,Consolidated Average Response Size
8.192e+06,593914,0.791212,648161035904,137781,99205396864,364682,484566278144,185,245002240,69210.1,1.26725e+06
1.6384e+07,1188397,0.792032,1297665865344,273377,196151544192,730055,970237640704,188,251535360,137411,1.26764e+06
2.4576e+07,1782612,0.792241,1947012482688,410261,294028315008,1095229,1455760064512,201,267341824,205415,1.26779e+06
3.2768e+07,2377202,0.792367,2596426917504,546190,391312443776,1460543,1941294718976,172,227561472,273643,1.26776e+06
4.096e+07,2971447,0.792396,3245654476416,682584,488696203648,1825747,2426731016192,211,276299776,341779,1.26778e+06
4.9152e+07,3566486,0.792597,3895772632704,819562,586336405888,2191591,2912974872576,183,241999872,409943,1.26773e+06
5.7344e+07,4160722,0.792562,4544865318528,955518,683397507456,2556751,3398219173888,176,233615360,478181,1.26769e+06
6.5536e+07,4755016,0.792507,5193772336768,1091970,780956014976,2921799,3883307401216,193,254824448,546377,1.26765e+06
7.3728e+07,5350489,0.792636,5843949512320,1227466,877913901440,3287801,4369614753792,173,225001472,614534,1.26763e+06
8.192e+07,5944632,0.792561,6492657030784,1363840,975360858496,3652639,4854487244800,175,229974016,682665,1.26761e+06
