Time,Server_no,Pending_Requests,Pending_req_size,Processed Requests,Processed req size,# Requests Forwarded,Size of Requests Forwarded,# Forwarded Requests Received,Size of Forwarded Requests Received,# Pending Forwarded Requests Received,Size of Pending Forwarded Requests Received,Utilization,Busy Time,Average Service Rate,Average # requests in system,Average Response Time,Average Response Size
8.192e+06,0,3,2789248,146410,149466787968,1602,2123190272,1587,2113093632,0,0,0.912273,7.47334e+06,0.019591,5.75898,322.26,1.02417e+06
8.192e+06,1,1,696064,145324,148686553344,1509,2010460160,1753,2334806016,0,0,0.907511,7.43433e+06,0.0195477,5.29516,299.993,1.02631e+06
8.192e+06,2,6,6322176,146445,149489342464,1589,2125090816,1614,2134417408,0,0,0.912411,7.47447e+06,0.0195927,5.66544,317.411,1.02419e+06
8.192e+06,3,9,7072800,146166,149400060896,1565,2080878592,1596,2136100864,0,0,0.911866,7.47e+06,0.0195671,5.56472,312.514,1.02537e+06
8.192e+06,4,4,3820096,145907,149173478848,1629,2173988864,1344,1795190784,0,0,0.910483,7.45867e+06,0.0195621,5.45633,306.155,1.02583e+06
1.6384e+07,0,8,6619584,292275,298662944320,3228,4288892928,3158,4208238592,0,0,0.911447,1.49331e+07,0.0195722,5.66215,317.631,1.0252e+06
1.6384e+07,1,4,5152768,291114,298032644096,3165,4222574592,3305,4406484992,0,0,0.909523,1.49016e+07,0.0195357,5.45709,308.005,1.02711e+06
1.6384e+07,2,5,5221824,292733,298888655424,3206,4285800448,3199,4250624000,0,0,0.912136,1.49444e+07,0.0195881,5.6421,316.164,1.02445e+06
1.6384e+07,3,1,1274336,292681,298941406752,3125,4160839680,3163,4218970112,0,0,0.912297,1.49471e+07,0.0195812,5.53263,310.218,1.02467e+06
1.6384e+07,4,0,0,291821,298248744960,3096,4132507648,2995,4006297600,0,0,0.910183,1.49124e+07,0.019569,5.35398,301.095,1.02531e+06
2.4576e+07,0,5,4580704,438837,448422886048,4843,6440587264,4719,6294196224,0,0,0.912319,2.24211e+07,0.0195725,5.67814,318.177,1.0252e+06
2.4576e+07,1,1,424256,437698,447858005696,4814,6410739712,4805,6401089536,0,0,0.911169,2.23929e+07,0.0195463,5.59983,315.016,1.02657e+06
