Time,Total_reqs_processed,Avg_utilization,total_bytes_processed,total_pending_reqs,total_pending_respSize,total_requests_forwarded,total_size_of_requests_forwarded,total_pending_forwarded_requests,size_of_pending_forwarded_requests,Consolidated average # requests in system,Consolidated Average Response Size
8.192e+06,1527052,0.763528,625481735200,11,3269600,0,0,0,0,10.1796,409600
1.6384e+07,3053248,0.763312,1250611192000,13,4513600,0,0,0,0,10.1676,409600
2.4576e+07,4582274,0.763713,1876900400800,7,1896800,0,0,0,0,10.1924,409600
3.2768e+07,6108207,0.763526,2501921990400,4,1235200,0,0,0,0,10.1885,409600
4.096e+07,7635636,0.763564,3127556880800,9,3311200,0,0,0,0,10.1905,409600
4.9152e+07,9161916,0.763493,3752721121600,7,2539200,0,0,0,0,10.1912,409600
5.7344e+07,10687661,0.763405,4377666773600,12,4087200,0,0,0,0,10.1861,409600
6.5536e+07,12212293,0.763268,5002155500000,3,941600,0,0,0,0,10.1754,409600
7.3728e+07,13739787,0.763322,5627817443200,7,2179200,0,0,0,0,10.1764,409600
8.192e+07,15264879,0.763244,6252494642400,6,2253600,0,0,0,0,10.1738,409600
