Time,Server_no,Pending_Requests,Pending_req_size,Processed Requests,Processed req size,# Requests Forwarded,Size of Requests Forwarded,# Forwarded Requests Received,Size of Forwarded Requests Received,# Pending Forwarded Requests Received,Size of Pending Forwarded Requests Received,Utilization,Busy Time,Average Service Rate,Average # requests in system,Average Response Time,Average Response Size
8.192e+06,0,61,65732096,82884,65535808000,62566,83197358080,0,0,0,0,0.999997,8.19198e+06,0.0101177,46.6961,3278.39,1.0226e+06
8.192e+06,1,28,27379664,176447,188396795952,32251,44390588416,62566,83197358080,0,0,0.999898,8.19117e+06,0.0215411,46.0899,2547.02,1.11541e+06
8.192e+06,2,1,808192,169750,181937838848,8794,11970338816,32251,44390588416,0,0,0.965618,7.91034e+06,0.0214593,17.1412,1028.36,1.08605e+06
8.192e+06,3,1,578056,153032,158682660344,1896,2542759936,8794,11970338816,0,0,0.842193,6.89925e+06,0.022181,4.46833,269.4,1.04064e+06
8.192e+06,4,4,3065176,147862,151832083112,0,0,1896,2542759936,0,0,0.805834,6.60139e+06,0.0223986,2.82674,159.686,1.02684e+06
1.6384e+07,0,65,71032320,166078,131071808000,125739,167146291200,0,0,0,0,0.999999,1.6384e+07,0.0101366,47.0308,3295.74,1.02195e+06
1.6384e+07,1,7,5493368,352969,376803708296,64586,88881090560,125739,167146291200,0,0,0.999925,1.63828e+07,0.0215451,46.0862,2550.14,1.11526e+06
1.6384e+07,2,2,1802352,339524,363934220176,17448,23743713280,64586,88881090560,0,0,0.965773,1.58232e+07,0.0214573,17.1356,1028.75,1.08602e+06
1.6384e+07,3,3,2374192,305773,317196248528,3843,5159927808,17448,23743713280,0,0,0.841744,1.37911e+07,0.0221717,4.47709,270.117,1.04115e+06
1.6384e+07,4,0,0,296612,304423092224,0,0,3843,5159927808,0,0,0.807848,1.32358e+07,0.0224099,2.85245,160.792,1.02633e+06
2.4576e+07,0,61,60280320,249023,196607808000,188656,250788458496,0,0,0,0,0.999999,2.4576e+07,0.0101328,47.0513,3298.44,1.0222e+06
2.4576e+07,1,30,30011392,529549,565192921088,96834,133290196992,188656,250788458496,0,0,0.999903,2.45736e+07,0.0215495,45.9983,2546.57,1.1151e+06
2.4576e+07,2,0,0,509226,545887858688,26152,35611414528,96834,133290196992,0,0,0.965749,2.37343e+07,0.0214553,17.1734,1030.37,1.08615e+06
2.4576e+07,3,9,9093288,458780,475729678168,5797,7794851840,26152,35611414528,0,0,0.84163,2.06839e+07,0.0221805,4.49803,270.895,1.04078e+06
2.4576e+07,4,0,0,445198,457126854656,0,0,5797,7794851840,0,0,0.808719,1.98751e+07,0.0223998,2.86274,161.297,1.02679e+06
3.2768e+07,0,64,65310208,331805,262143808000,251599,334472642560,0,0,0,0,0.999999,3.2768e+07,0.0101259,46.9527,3292.42,1.02265e+06
3.2768e+07,1,26,27498072,706290,753581808040,129364,178054311936,251599,334472642560,0,0,0.999891,3.27644e+07,0.0215566,46.0481,2547.3,1.11486e+06
3.2768e+07,2,8,7883552,678990,728035366112,34778,47360491520,129364,178054311936,0,0,0.965995,3.16537e+07,0.0214506,17.1691,1030.55,1.08634e+06
3.2768e+07,3,2,2470608,612195,634813361456,7829,10521059328,34778,47360491520,0,0,0.842303,2.76006e+07,0.0221805,4.51376,271.171,1.04082e+06
3.2768e+07,4,0,0,593665,609329045504,0,0,7829,10521059328,0,0,0.808489,2.64926e+07,0.0224087,2.85949,161.167,1.02639e+06
4.096e+07,0,53,50286080,415072,327679808000,315172,418996584448,0,0,0,0,0.999999,4.096e+07,0.0101336,47.0779,3297.62,1.0225e+06
4.096e+07,1,41,38858752,882985,941978599424,162615,223779778560,315172,418996584448,0,0,0.999892,4.09556e+07,0.0215596,46.2285,2555.62,1.11491e+06
4.096e+07,2,9,9660984,849100,910479238600,43831,59697491968,162615,223779778560,0,0,0.966456,3.95861e+07,0.0214495,17.2658,1036.44,1.08651e+06
4.096e+07,3,1,353264,765194,793800096784,9800,13172994048,43831,59697491968,0,0,0.842604,3.4513e+07,0.0221712,4.52298,272.017,1.04126e+06
4.096e+07,4,0,0,742584,762167369728,0,0,9800,13172994048,0,0,0.809026,3.31377e+07,0.022409,2.87179,161.745,1.02637e+06
4.9152e+07,0,70,69438976,498245,393215808000,378593,503304798208,0,0,0,0,1,4.9152e+07,0.0101368,47.1501,3301.23,1.02244e+06
4.9152e+07,1,64,70300328,1059542,1130378435928,195317,268795977728,378593,503304798208,0,0,0.999896,4.91469e+07,0.0215587,46.2623,2558.03,1.115e+06
4.9152e+07,2,28,25732144,1018916,1092670782416,52851,72008626176,195317,268795977728,0,0,0.966541,4.75074e+07,0.0214475,17.3261,1039.4,1.08669e+06
4.9152e+07,3,1,1187536,918166,952626020656,11746,15788359680,52851,72008626176,0,0,0.842662,4.14185e+07,0.022168,4.52333,272.414,1.0414e+06
4.9152e+07,4,4,3788392,890300,913637081496,0,0,11746,15788359680,0,0,0.808174,3.97234e+07,0.0224125,2.85559,160.944,1.02621e+06
5.7344e+07,0,59,61988352,581351,458751808000,441423,586851876864,0,0,0,0,1,5.7344e+07,0.010138,47.1285,3299.8,1.02232e+06
5.7344e+07,1,38,39002792,1236217,1318794435928,227581,313223196672,441423,586851876864,0,0,0.999911,5.73389e+07,0.0215598,46.2463,2557.18,1.11492e+06
5.7344e+07,2,6,4025824,1188073,1274259304992,60974,83061866496,227581,313223196672,0,0,0.966144,5.54026e+07,0.0214444,17.2527,1036.34,1.08668e+06
5.7344e+07,3,1,856384,1070170,1110053510848,13491,18117705728,60974,83061866496,0,0,0.841643,4.82632e+07,0.0221736,4.47356,269.667,1.04107e+06
5.7344e+07,4,1,714432,1037760,1064772192576,0,0,13491,18117705728,0,0,0.807311,4.62944e+07,0.0224165,2.82658,159.416,1.02603e+06
6.5536e+07,0,57,55897600,664290,524287808000,503876,669842935808,0,0,0,0,1,6.5536e+07,0.0101363,47.085,3297.7,1.02222e+06
6.5536e+07,1,31,34690296,1413105,1507184933640,259221,356741328896,503876,669842935808,0,0,0.999905,6.55298e+07,0.0215643,46.1833,2554.06,1.11457e+06
6.5536e+07,2,6,5457464,1357834,1456190138824,69404,94540673024,259221,356741328896,0,0,0.966074,6.33126e+07,0.0214465,17.2002,1032.75,1.08652e+06
6.5536e+07,3,2,1364456,1223084,1268553453080,15411,20701913088,69404,94540673024,0,0,0.841591,5.51545e+07,0.0221756,4.46886,269.281,1.04098e+06
6.5536e+07,4,4,3843104,1185588,1216543919072,0,0,15411,20701913088,0,0,0.807086,5.28932e+07,0.0224147,2.833,159.854,1.02611e+06
7.3728e+07,0,69,69262848,747512,589823808000,566735,753387704320,0,0,0,0,1,7.3728e+07,0.0101388,47.1031,3298.52,1.02204e+06
7.3728e+07,1,24,24189480,1589663,1695590696408,291611,401322250240,566735,753387704320,0,0,0.99991,7.37213e+07,0.0215631,46.1517,2553.02,1.11462e+06
7.3728e+07,2,30,28403936,1527735,1638413121312,78159,106450640896,291611,401322250240,0,0,0.966191,7.12354e+07,0.0214463,17.2191,1033.29,1.08653e+06
7.3728e+07,3,0,0,1376209,1427396870144,17439,23417131008,78159,106450640896,0,0,0.841753,6.20607e+07,0.0221752,4.48547,270.138,1.04102e+06
7.3728e+07,4,0,0,1334124,1368952467456,0,0,17439,23417131008,0,0,0.807287,5.95197e+07,0.0224148,2.84,160.219,1.02611e+06
8.192e+07,0,39,39226880,830757,655359808000,629812,837188358144,0,0,0,0,1,8.192e+07,0.0101411,47.1412,3300.68,1.02189e+06
8.192e+07,1,12,11960736,1766373,1883983560288,324045,445942226944,629812,837188358144,0,0,0.999906,8.19123e+07,0.0215642,46.145,2553.22,1.11457e+06
8.192e+07,2,7,7184752,1697600,1820509253264,87012,118546866176,324045,445942226944,0,0,0.966218,7.91526e+07,0.0214472,17.2397,1034.04,1.08654e+06
