Time,Total_reqs_processed,Avg_utilization,total_bytes_processed,total_pending_reqs,total_pending_respSize,total_requests_forwarded,total_size_of_requests_forwarded,total_pending_forwarded_requests,size_of_pending_forwarded_requests,Consolidated average # requests in system,Consolidated Average Response Size
8.192e+06,593881,0.791836,648672301024,137196,98681966624,364897,485070000128,180,237359104,69035.7,1.26785e+06
1.6384e+07,1188708,0.792598,1298593026016,273879,196377042976,730525,971173040128,191,259674112,137333,1.26788e+06
2.4576e+07,1782808,0.792325,1947218083808,409612,293506134048,1095233,1455943806976,185,245383168,205438,1.26779e+06
3.2768e+07,2377218,0.792368,2596429873120,545421,390386294816,1460378,1941292040192,168,221827072,273446,1.26772e+06
4.096e+07,2973158,0.79294,3247881994208,682711,488524640288,1827195,2428918390784,180,236056576,341617,1.26776e+06
4.9152e+07,3567843,0.79288,3897161514976,819361,586451529760,2192446,2914373132288,194,251277312,409867,1.26772e+06
5.7344e+07,4162303,0.792814,4546312646624,955812,683882606624,2557691,3399707893760,207,274907136,478134,1.26768e+06
6.5536e+07,4757879,0.793062,5197409431520,1092422,781524320288,2924100,3886936780800,181,247009280,546381,1.26774e+06
7.3728e+07,5353099,0.79316,5847812124640,1229209,879055978528,3290247,4373489319936,181,236855296,614682,1.2677e+06
8.192e+07,5947308,0.793033,6496528506848,1364805,976080412704,3655161,4858370781184,186,241934336,682915,1.26766e+06
