Time,Total_reqs_processed,Avg_utilization,total_bytes_processed,total_pending_reqs,total_pending_respSize,total_requests_forwarded,total_size_of_requests_forwarded,total_pending_forwarded_requests,size_of_pending_forwarded_requests,Consolidated average # requests in system,Consolidated Average Response Size
8.192e+06,1527904,0.763952,625829747200,11,4236800,0,0,0,0,10.1558,409600
1.6384e+07,3054982,0.763746,1251321925600,11,3207200,0,0,0,0,10.1598,409600
2.4576e+07,4582716,0.763786,1877081508800,9,2651200,0,0,0,0,10.1743,409600
3.2768e+07,6109110,0.763639,2502292127200,5,1376800,0,0,0,0,10.1767,409600
4.096e+07,7634579,0.763458,3127123898400,4,1298400,0,0,0,0,10.1594,409600
4.9152e+07,9162214,0.763518,3752843322400,10,3628000,0,0,0,0,10.165,409600
5.7344e+07,10688700,0.763479,4378092164000,7,2223200,0,0,0,0,10.1644,409600
6.5536e+07,12215365,0.76346,5003414546400,5,1005600,0,0,0,0,10.1609,409600
7.3728e+07,13743869,0.763548,5629489249600,19,7275200,0,0,0,0,10.1647,409600
8.192e+07,15270249,0.763513,6254694515200,6,1932800,0,0,0,0,10.1681,409600
