Time,Total_reqs_processed,Avg_utilization,total_bytes_processed,total_pending_reqs,total_pending_respSize,total_requests_forwarded,total_size_of_requests_forwarded,total_pending_forwarded_requests,size_of_pending_forwarded_requests,Consolidated average # requests in system,Consolidated Average Response Size
8.192e+06,730958,0.923337,746979182200,361,354384264,73314,97571311616,0,0,358.165,1.0494e+06
1.6384e+07,1461336,0.923046,1493406979176,360,364043160,146488,195035234304,0,0,357.015,1.04951e+06
2.4576e+07,2193571,0.923603,2241685214936,416,420489512,220369,293472686080,0,0,358.313,1.04959e+06
3.2768e+07,2925168,0.92378,2989581531808,350,362780000,293848,391299616768,0,0,358.003,1.04966e+06
4.096e+07,3654550,0.923451,3735427314752,348,349281216,366317,487781916672,0,0,357.17,1.04969e+06
4.9152e+07,4383841,0.923185,4481005895160,341,346665480,438887,584375586816,0,0,356.513,1.04968e+06
5.7344e+07,5114007,0.923061,5227025652688,342,346252336,511592,681137668096,0,0,356.381,1.04959e+06
6.5536e+07,5844288,0.923113,5974133990520,367,365132680,585377,779395284992,0,0,356.64,1.04974e+06
7.3728e+07,6576522,0.923317,6722625745984,371,386079680,659113,877551824896,0,0,357.032,1.04975e+06
8.192e+07,7306966,0.92329,7469327991272,393,398245400,732687,975485673472,0,0,357.215,1.04976e+06
