Time,Total_reqs_processed,Avg_utilization,total_bytes_processed,total_pending_reqs,total_pending_respSize,total_requests_forwarded,total_size_of_requests_forwarded,total_pending_forwarded_requests,size_of_pending_forwarded_requests,Consolidated average # requests in system,Consolidated Average Response Size
8.192e+06,731004,0.912008,747117056448,38,35790400,18409,24564383744,0,0,27.4838,1.02971e+06
1.6384e+07,1462928,0.912319,1494742837600,28,26576544,37064,49459884032,0,0,27.5111,1.02947e+06
2.4576e+07,2193039,0.911964,2241242567264,13,10767776,55542,74168283136,0,0,27.5579,1.02972e+06
3.2768e+07,2923938,0.911889,2988078389600,21,22230688,74379,99345920000,0,0,27.6326,1.02972e+06
4.096e+07,3653834,0.911692,3734290047648,24,24550752,93001,124199194624,0,0,27.6609,1.0298e+06
4.9152e+07,4383579,0.91151,4480255057984,32,34369472,111314,148644900864,0,0,27.626,1.02981e+06
5.7344e+07,5112396,0.911142,5224852849472,31,27786432,129329,172670849024,0,0,27.5498,1.02972e+06
6.5536e+07,5843476,0.911238,5971890540672,18,19029888,148079,197732048896,0,0,27.6072,1.02972e+06
7.3728e+07,6573549,0.911145,6717687211744,40,38005024,166418,222189445120,0,0,27.6004,1.02966e+06
8.192e+07,7302767,0.910954,7462537987552,14,11262496,184367,246140153856,0,0,27.5148,1.02959e+06
