Time,Server_no,Pending_Requests,Pending_req_size,Processed Requests,Processed req size,# Requests Forwarded,Size of Requests Forwarded,# Forwarded Requests Received,Size of Forwarded Requests Received,# Pending Forwarded Requests Received,Size of Pending Forwarded Requests Received,Utilization,Busy Time,Average Service Rate,Average # requests in system,Average Response Time,Average Response Size
8.192e+06,0,140786,103615369056,229279,163839140000,360478,479124918272,0,0,0,0,0.999995,8.19196e+06,0.0279883,91549.9,1.53011e+06,1.02195e+06
8.192e+06,1,237301,315366838272,123177,163758080000,0,0,360478,479124918272,237301,315366838272,0.9995,8.1879e+06,0.0150438,97994.5,2.72452e+06,1.32914e+06
8.192e+06,2,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
8.192e+06,3,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
8.192e+06,4,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
1.6384e+07,0,393780,355826577248,458537,327679140000,610301,811085623296,0,0,0,0,0.999997,1.6384e+07,0.027987,179550,3.05389e+06,1.02186e+06
1.6384e+07,1,363885,483487543296,246416,327598080000,0,0,610301,811085623296,363885,483487543296,0.99975,1.63799e+07,0.0150438,199033,5.4409e+06,1.32899e+06
1.6384e+07,2,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
1.6384e+07,3,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
1.6384e+07,4,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
2.4576e+07,0,473607,377833131872,687852,491519140000,1032417,1371945345024,0,0,0,0,0.999998,2.4576e+07,0.0279888,269913,4.57952e+06,1.02162e+06
2.4576e+07,1,662664,880507265024,369753,491438080000,0,0,1032417,1371945345024,662664,880507265024,0.999833,2.45719e+07,0.0150478,298060,8.15329e+06,1.32887e+06
2.4576e+07,2,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
2.4576e+07,3,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
2.4576e+07,4,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
3.2768e+07,0,664516,547818192736,916935,655359140000,1342391,1783879380992,0,0,0,0,0.999999,3.2768e+07,0.0279827,358160,6.10637e+06,1.02162e+06
3.2768e+07,1,849381,1128601300992,493010,655278080000,0,0,1342391,1783879380992,849381,1128601300992,0.999875,3.27639e+07,0.0150474,399066,1.08634e+07,1.32888e+06
3.2768e+07,2,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
3.2768e+07,3,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
3.2768e+07,4,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
4.096e+07,0,762968,595295936352,1146193,819199140000,1745511,2319679488000,0,0,0,0,0.999999,4.096e+07,0.0279833,451677,7.63743e+06,1.02175e+06
4.096e+07,1,1129163,1500561408000,616348,819118080000,0,0,1745511,2319679488000,1129163,1500561408000,0.9999,4.09559e+07,0.0150491,494732,1.35778e+07,1.32894e+06
4.096e+07,2,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
4.096e+07,3,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
4.096e+07,4,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
4.9152e+07,0,1263035,1176926973792,1375515,983039140000,1745511,2319679488000,0,0,0,0,0.999999,4.9152e+07,0.0279849,545243,9.16727e+06,1.0218e+06
4.9152e+07,1,1005893,1336721408000,739618,982958080000,0,0,1745511,2319679488000,1005893,1336721408000,0.999917,4.91479e+07,0.0150488,590198,1.62928e+07,1.32894e+06
4.9152e+07,2,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
4.9152e+07,3,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
