Time,Total_reqs_processed,Avg_utilization,total_bytes_processed,total_pending_reqs,total_pending_respSize,total_requests_forwarded,total_size_of_requests_forwarded,total_pending_forwarded_requests,size_of_pending_forwarded_requests,Consolidated average # requests in system,Consolidated Average Response Size
8.192e+06,160288,0.2,163839720000,569173,581669918144,0,0,0,0,284617,204400
1.6384e+07,320647,0.2,327679720000,1139908,1165452203456,0,0,0,0,569579,204461
2.4576e+07,480743,0.2,491519720000,1711091,1749160220096,0,0,0,0,854968,204457
3.2768e+07,641141,0.2,655359720000,2281038,2331532305856,0,0,0,0,1.14017e+06,204429
4.096e+07,801513,0.2,819199720000,2850408,2912789816768,0,0,0,0,1.42518e+06,204385
4.9152e+07,961774,0.2,983039720000,3420664,3495394436544,0,0,0,0,1.71022e+06,204381
5.7344e+07,1121793,0.2,1146879720000,3991115,4078244263360,0,0,0,0,1.99538e+06,204390
6.5536e+07,1282086,0.2,1310719720000,4561385,4660937168320,0,0,0,0,2.28043e+06,204387
7.3728e+07,1442318,0.2,1474559720000,5132566,5245217134016,0,0,0,0,2.56565e+06,204407
8.192e+07,1602412,0.2,1638399720000,5703925,5828972398016,0,0,0,0,2.85091e+06,204408
