Time,Total_reqs_processed,Avg_utilization,total_bytes_processed,total_pending_reqs,total_pending_respSize,total_requests_forwarded,total_size_of_requests_forwarded,total_pending_forwarded_requests,size_of_pending_forwarded_requests,Consolidated average # requests in system,Consolidated Average Response Size
8.192e+06,1525799,0.7629,624967790400,15,5624000,5469,2240102400,0,0,10.1013,409600
1.6384e+07,3052553,0.763139,1250327196000,12,3428000,10997,4504371200,0,0,10.0846,409600
2.4576e+07,4577751,0.762959,1875047938400,12,3786400,16525,6768640000,0,0,10.0891,409600
3.2768e+07,6104175,0.763022,2500270582400,9,3184000,21966,8997273600,0,0,10.0818,409600
4.096e+07,7631147,0.763115,3125718441600,8,2646400,27582,11297587200,0,0,10.0888,409600
4.9152e+07,9159076,0.763256,3751558248000,10,3377600,33238,13614284800,0,0,10.1008,409600
5.7344e+07,10684442,0.763175,4376348448800,12,3909600,38710,15855616000,0,0,10.0994,409600
6.5536e+07,12211906,0.763244,5001997416000,8,2558400,44190,18100224000,0,0,10.1043,409600
7.3728e+07,13737654,0.763203,5626943510400,3,796800,49691,20353433600,0,0,10.1009,409600
8.192e+07,15262936,0.763147,6251698769600,4,1454400,55223,22619340800,0,0,10.0947,409600
