Time,Total_reqs_processed,Avg_utilization,total_bytes_processed,total_pending_reqs,total_pending_respSize,total_requests_forwarded,total_size_of_requests_forwarded,total_pending_forwarded_requests,size_of_pending_forwarded_requests,Consolidated average # requests in system,Consolidated Average Response Size
8.192e+06,593317,0.790749,647781519584,136845,98460032800,364389,484194340864,191,252641280,68607.9,1.26751e+06
1.6384e+07,1187939,0.791766,1297229537504,273213,196048543520,729707,969791905792,182,242188288,136823,1.26772e+06
2.4576e+07,1782045,0.791911,1946201293024,409256,293146119968,1094665,1454928502784,184,247029760,204986,1.26777e+06
3.2768e+07,2377034,0.792367,2596427968736,544958,390239293216,1460488,1941323018240,193,254869504,273021,1.26791e+06
4.096e+07,2972373,0.792641,3246658126048,680616,487138512672,1826534,2427714334720,194,256028672,340930,1.2678e+06
4.9152e+07,3566909,0.792635,3895957889248,816447,584161013536,2191855,2913139163136,168,221093888,408868,1.26772e+06
5.7344e+07,4161737,0.792704,4545682469088,952326,681244225312,2557435,3399030710272,172,228061184,476840,1.26773e+06
6.5536e+07,4756760,0.792818,5195809788128,1089314,779138133792,2923215,3885343690752,190,253722624,544857,1.26777e+06
7.3728e+07,5352107,0.792931,5846125285600,1224694,875887951648,3289303,4371783872512,166,218406912,612878,1.26772e+06
8.192e+07,5947459,0.793015,6496375226592,1361024,973515648800,3655389,4858206908416,176,231501824,680870,1.26769e+06
