Time,Server_no,Pending_Requests,Pending_req_size,Processed Requests,Processed req size,# Requests Forwarded,Size of Requests Forwarded,# Forwarded Requests Received,Size of Forwarded Requests Received,# Pending Forwarded Requests Received,Size of Pending Forwarded Requests Received,Utilization,Busy Time,Average Service Rate,Average # requests in system,Average Response Time,Average Response Size
8.192e+06,0,309,321818944,82919,65535672000,62726,83382849536,0,0,0,0,0.999995,8.19196e+06,0.010122,294.008,17198.6,1.02252e+06
8.192e+06,1,24,27308032,162704,171170742272,0,0,16283,21624659968,0,0,0.908472,7.44221e+06,0.0218623,13.8682,2259.55,1.05205e+06
8.192e+06,2,26,29085696,162463,170842460160,0,0,15883,21124440064,0,0,0.90673,7.42793e+06,0.0218719,13.8217,2225.68,1.05159e+06
8.192e+06,3,0,0,161832,170481131520,0,0,15879,21108674560,0,0,0.904812,7.41222e+06,0.0218331,13.4803,2217.49,1.05345e+06
8.192e+06,4,3,2691424,161769,169768193696,0,0,14681,19525074944,0,0,0.901029,7.38123e+06,0.0219163,12.9473,2073.26,1.04945e+06
1.6384e+07,0,334,343400768,165928,131071672000,125889,167245246464,0,0,0,0,0.999997,1.6384e+07,0.0101275,294.92,17238,1.02228e+06
1.6384e+07,1,0,0,325784,342747504640,0,0,32789,43523944448,0,0,0.90955,1.49021e+07,0.0218617,14.019,2277.85,1.05207e+06
1.6384e+07,2,26,26800128,325020,341909938176,0,0,32122,42671783936,0,0,0.907327,1.48656e+07,0.0218638,13.937,2250.22,1.05196e+06
1.6384e+07,3,9,10498304,323955,340963667712,0,0,31391,41705500672,0,0,0.904816,1.48245e+07,0.0218527,13.6716,2208.94,1.05251e+06
1.6384e+07,4,0,0,322713,338916618240,0,0,29587,39344017408,0,0,0.899384,1.47355e+07,0.0219004,12.9295,2089.38,1.05021e+06
2.4576e+07,0,313,317337920,248967,196607672000,188862,250954694656,0,0,0,0,0.999998,2.4576e+07,0.0101305,295.166,17252.9,1.02222e+06
2.4576e+07,1,3,2565760,488671,514389678464,0,0,49437,65644703744,0,0,0.910025,2.23648e+07,0.02185,14.0328,2287.65,1.05263e+06
2.4576e+07,2,14,13893632,487191,512466210816,0,0,48181,64012914688,0,0,0.906622,2.22811e+07,0.0218656,13.8409,2247.95,1.05188e+06
2.4576e+07,3,2,1339344,484683,510220660784,0,0,46959,62435528704,0,0,0.902649,2.21835e+07,0.0218488,13.4896,2202.25,1.05269e+06
2.4576e+07,4,9,10671040,483472,507733355584,0,0,44285,58861547520,0,0,0.898249,2.20754e+07,0.021901,12.9132,2089.44,1.05018e+06
3.2768e+07,0,306,299057472,332031,262143672000,251997,334878101504,0,0,0,0,0.999999,3.2768e+07,0.0101328,295.454,17266.5,1.02223e+06
3.2768e+07,1,6,3877352,651674,686096827928,0,0,66639,88526671872,0,0,0.910348,2.98303e+07,0.021846,14.0813,2308.69,1.05282e+06
3.2768e+07,2,1,1200760,649455,683335736712,0,0,64132,85202575360,0,0,0.906685,2.97102e+07,0.0218596,13.8056,2244.14,1.05217e+06
3.2768e+07,3,29,29957720,645781,679491645864,0,0,62054,82507321344,0,0,0.901584,2.95431e+07,0.0218589,13.3957,2185.74,1.0522e+06
