Time,Total_reqs_processed,Avg_utilization,total_bytes_processed,total_pending_reqs,total_pending_respSize,total_requests_forwarded,total_size_of_requests_forwarded,total_pending_forwarded_requests,size_of_pending_forwarded_requests,Consolidated average # requests in system,Consolidated Average Response Size
8.192e+06,731502,0.912274,747335146016,42,42530272,18604,24848510976,0,0,27.7663,1.02943e+06
1.6384e+07,1463831,0.913105,1496031486752,16,13651168,37498,50049769472,0,0,28.0578,1.02981e+06
2.4576e+07,2195200,0.912831,2243372919328,24,22435296,56391,75272208384,0,0,28.0563,1.02978e+06
3.2768e+07,2924800,0.912265,2989308697152,41,39978432,75057,100186337280,0,0,27.9112,1.02988e+06
4.096e+07,3656095,0.912281,3736702635520,5,2998784,94012,125481512960,0,0,27.8938,1.02989e+06
4.9152e+07,4386274,0.911978,4482555362048,11,11273472,112672,150383796224,0,0,27.8435,1.02978e+06
5.7344e+07,5117507,0.91197,5229600293728,32,32857248,131306,175259619328,0,0,27.7995,1.02973e+06
6.5536e+07,5847183,0.911729,5975105364992,18,17083392,149415,199412912128,0,0,27.7196,1.02967e+06
7.3728e+07,6577740,0.91164,6721341958208,31,32606144,167929,224107249664,0,0,27.718,1.02962e+06
8.192e+07,7308320,0.911616,7467959601984,23,21624000,186551,248924708864,0,0,27.7098,1.02962e+06
