Time,Total_reqs_processed,Avg_utilization,total_bytes_processed,total_pending_reqs,total_pending_respSize,total_requests_forwarded,total_size_of_requests_forwarded,total_pending_forwarded_requests,size_of_pending_forwarded_requests,Consolidated average # requests in system,Consolidated Average Response Size
8.192e+06,729005,0.90877,744464482208,22,22118496,0,0,0,0,30.1557,1.0212e+06
1.6384e+07,1460255,0.910341,1491502341280,18,16507744,0,0,0,0,30.9301,1.0214e+06
2.4576e+07,2189389,0.910328,2237222776288,15,13443616,0,0,0,0,30.836,1.02185e+06
3.2768e+07,2919082,0.910318,2982930012832,20,20903264,0,0,0,0,30.9519,1.02187e+06
4.096e+07,3650491,0.910607,3729846219840,65,60222400,0,0,0,0,30.9634,1.02174e+06
4.9152e+07,4382909,0.911137,4478419288640,12,10051008,0,0,0,0,31.1584,1.02179e+06
5.7344e+07,5113184,0.911124,5224749023264,26,26050528,0,0,0,0,31.1405,1.02182e+06
6.5536e+07,5845861,0.911489,5973536914752,41,38806208,0,0,0,0,31.24,1.02184e+06
7.3728e+07,6575899,0.911432,6719802456608,66,62842336,0,0,0,0,31.2119,1.02188e+06
8.192e+07,7305354,0.911327,7465590207552,18,14617536,0,0,0,0,31.1297,1.02193e+06
