Time,Server_no,Pending_Requests,Pending_req_size,Processed Requests,Processed req size,# Requests Forwarded,Size of Requests Forwarded,# Forwarded Requests Received,Size of Forwarded Requests Received,# Pending Forwarded Requests Received,Size of Pending Forwarded Requests Received,Utilization,Busy Time,Average Service Rate,Average # requests in system,Average Response Time,Average Response Size
8.192e+06,0,330,321544320,82825,65535467392,62733,83473334272,0,0,0,0,0.999992,8.19193e+06,0.0101106,294.407,17226.4,1.0236e+06
8.192e+06,1,5,5388960,162169,170917016928,0,0,16533,22003769344,0,0,0.907126,7.43117e+06,0.0218228,13.796,2291.58,1.05394e+06
8.192e+06,2,2,958848,162105,170538606208,0,0,15971,21249921024,0,0,0.905117,7.41472e+06,0.0218626,13.6359,2231.56,1.05202e+06
8.192e+06,3,19,18575440,162227,170471010224,0,0,15553,20699475968,0,0,0.904759,7.41178e+06,0.0218877,13.5512,2185.04,1.05081e+06
8.192e+06,4,23,22806528,161294,169269407744,0,0,14676,19520167936,0,0,0.898381,7.35954e+06,0.0219163,12.8286,2078.45,1.04944e+06
1.6384e+07,0,318,327893120,165785,131071467392,126002,167507124224,0,0,0,0,0.999996,1.63839e+07,0.0101188,294.984,17242.3,1.02328e+06
1.6384e+07,1,28,27499048,324889,342494823896,0,0,33214,44179013632,0,0,0.908879,1.48911e+07,0.0218177,13.9801,2304.1,1.05418e+06
1.6384e+07,2,0,0,323581,340357767168,0,0,31264,41594007552,0,0,0.903208,1.47982e+07,0.0218663,13.5383,2196.98,1.05185e+06
1.6384e+07,3,3,2628744,323655,340463604600,0,0,31644,42022649856,0,0,0.903489,1.48028e+07,0.0218645,13.6214,2220.31,1.05193e+06
1.6384e+07,4,37,40435712,322980,339041427456,0,0,29880,39711453184,0,0,0.899715,1.47409e+07,0.0219104,12.9397,2106.87,1.04973e+06
2.4576e+07,0,288,295039104,248733,196607467392,188897,251109822464,0,0,0,0,0.999997,2.45759e+07,0.010121,295.039,17253.5,1.02305e+06
2.4576e+07,1,18,16969728,486994,513193693184,0,0,49895,66330804224,0,0,0.907909,2.23128e+07,0.0218258,13.9604,2308.42,1.05379e+06
2.4576e+07,2,2,1684528,485694,511026580432,0,0,47571,63308492800,0,0,0.904075,2.22185e+07,0.0218598,13.5487,2218.45,1.05216e+06
2.4576e+07,3,0,0,485155,510380474368,0,0,47221,62740877312,0,0,0.902932,2.21905e+07,0.0218632,13.5118,2208.27,1.05199e+06
2.4576e+07,4,0,0,484210,508059582464,0,0,44210,58729648128,0,0,0.898826,2.20895e+07,0.0219203,12.8763,2084.97,1.04925e+06
3.2768e+07,0,283,300609664,331554,262143467392,251398,334151663616,0,0,0,0,0.999998,3.27679e+07,0.0101182,294.514,17240.2,1.02291e+06
3.2768e+07,1,1,121176,649939,684644091560,0,0,66512,88417947648,0,0,0.908421,2.97671e+07,0.0218341,13.9642,2304.76,1.0534e+06
3.2768e+07,2,19,21209088,647211,680945229824,0,0,63340,84273946624,0,0,0.903513,2.96063e+07,0.0218606,13.5256,2215.81,1.05212e+06
3.2768e+07,3,10,9297920,646740,680493727744,0,0,62818,83475804160,0,0,0.902914,2.95867e+07,0.0218592,13.4599,2202.05,1.05219e+06
3.2768e+07,4,12,11732848,644820,676714662032,0,0,58728,77983965184,0,0,0.8979,2.94224e+07,0.021916,12.7892,2075.45,1.04946e+06
4.096e+07,0,291,293658752,414729,327679467392,314486,418090369024,0,0,0,0,0.999998,4.09599e+07,0.0101252,294.888,17251.3,1.0227e+06
4.096e+07,1,32,31232328,812590,855967841976,0,0,83137,110522056704,0,0,0.908594,3.7216e+07,0.0218344,13.9754,2306.28,1.05338e+06
4.096e+07,2,16,14644648,809583,851882924632,0,0,79257,105485271040,0,0,0.904258,3.70384e+07,0.0218579,13.6173,2221.12,1.05225e+06
4.096e+07,3,12,9214872,808090,850260042856,0,0,78306,104057634816,0,0,0.902535,3.69678e+07,0.0218593,13.4687,2199.82,1.05218e+06
4.096e+07,4,3,2375424,806068,845924516096,0,0,73786,98025406464,0,0,0.897933,3.67793e+07,0.0219163,12.849,2085.91,1.04944e+06
4.9152e+07,0,338,342679680,497678,393215467392,377027,501178982400,0,0,0,0,0.999999,4.91519e+07,0.0101253,294.675,17245.8,1.02251e+06
4.9152e+07,1,0,0,974866,1026743865344,0,0,99260,131937591296,0,0,0.908224,4.4641e+07,0.0218379,13.9001,2294.54,1.05322e+06
4.9152e+07,2,29,30886440,971791,1022561129944,0,0,95391,126902902784,0,0,0.904524,4.44592e+07,0.0218581,13.5775,2222.54,1.05224e+06
4.9152e+07,3,0,0,969310,1019828105216,0,0,93935,124834246656,0,0,0.902107,4.43404e+07,0.0218607,13.4261,2197.54,1.05212e+06
4.9152e+07,4,17,17723392,967079,1014787698688,0,0,88441,117504241664,0,0,0.897648,4.41212e+07,0.0219187,12.8321,2083.09,1.04933e+06
5.7344e+07,0,347,347713664,580764,458751467392,440898,586130272256,0,0,0,0,0.999999,5.73439e+07,0.0101277,295.186,17258.4,1.02272e+06
5.7344e+07,1,24,22234072,1137024,1197332851752,0,0,115556,153610207232,0,0,0.907819,5.2058e+07,0.0218415,13.8984,2292.45,1.05304e+06
5.7344e+07,2,27,27340800,1133955,1193089826816,0,0,111310,148089647104,0,0,0.904602,5.18735e+07,0.02186,13.6282,2226.14,1.05215e+06
5.7344e+07,3,3,3120968,1131522,1190467203256,0,0,109621,145702313984,0,0,0.902613,5.17594e+07,0.0218612,13.4815,2200.08,1.05209e+06
5.7344e+07,4,1,244520,1128566,1184579597528,0,0,104411,138728103936,0,0,0.898149,5.15035e+07,0.0219124,12.9538,2106.68,1.04963e+06
6.5536e+07,0,274,286998656,663786,524287467392,503603,669506715648,0,0,0,0,0.999999,6.55359e+07,0.0101286,295.081,17256.5,1.02262e+06
6.5536e+07,1,5,5211568,1299081,1368320518736,0,0,131612,174973612032,0,0,0.907779,5.94922e+07,0.0218362,13.8878,2286.58,1.0533e+06
6.5536e+07,2,2,1822248,1295338,1362771403224,0,0,126969,168914239488,0,0,0.904097,5.92509e+07,0.0218619,13.5618,2221.12,1.05206e+06
6.5536e+07,3,28,29286400,1292601,1359801085952,0,0,125042,166195281920,0,0,0.902127,5.91218e+07,0.0218634,13.428,2195.21,1.05199e+06
6.5536e+07,4,0,0,1290035,1354077192192,0,0,119980,159423582208,0,0,0.898329,5.88729e+07,0.0219122,13.0062,2116.63,1.04964e+06
7.3728e+07,0,345,346853504,746842,589823467392,566265,752841027584,0,0,0,0,0.999999,7.37279e+07,0.0101297,295.042,17256.8,1.02251e+06
7.3728e+07,1,12,13422592,1461144,1538747977728,0,0,147840,196582666240,0,0,0.907418,6.69021e+07,0.02184,13.8463,2282.39,1.05311e+06
7.3728e+07,2,13,11411456,1457660,1533686460416,0,0,142618,189720055808,0,0,0.904433,6.6682e+07,0.0218599,13.5536,2217.44,1.05215e+06
7.3728e+07,3,0,0,1454908,1530384826368,0,0,140949,187348430848,0,0,0.902486,6.65385e+07,0.0218657,13.4533,2198.46,1.05188e+06
7.3728e+07,4,6,5444168,1450985,1523120483768,0,0,134858,179189874688,0,0,0.898202,6.62226e+07,0.0219107,12.9917,2115.15,1.04971e+06
