Time,Total_reqs_processed,Avg_utilization,total_bytes_processed,total_pending_reqs,total_pending_respSize,total_requests_forwarded,total_size_of_requests_forwarded,total_pending_forwarded_requests,size_of_pending_forwarded_requests,Consolidated average # requests in system,Consolidated Average Response Size
819200,152575,0.762889,62495829600,19,6672800,0,0,0,0,10.0753,409600
1.6384e+06,304630,0.761579,124777176800,5,1319200,0,0,0,0,9.97464,409600
2.4576e+06,457043,0.761741,187205362400,8,2727200,0,0,0,0,10.0358,409600
3.2768e+06,610474,0.763095,250050996000,27,10213600,0,0,0,0,10.1238,409600
4.096e+06,763416,0.763417,312695476000,3,946400,0,0,0,0,10.1538,409600
4.9152e+06,916372,0.763645,375346632000,4,977600,0,0,0,0,10.164,409600
5.7344e+06,1069575,0.763984,438098732000,8,2464800,0,0,0,0,10.1788,409600
6.5536e+06,1222130,0.763832,500585263200,10,3280800,0,0,0,0,10.1703,409600
7.3728e+06,1376095,0.764499,563649468000,28,10512800,0,0,0,0,10.221,409600
8.192e+06,1528432,0.764217,626046934400,9,2499200,0,0,0,0,10.2008,409600
9.0112e+06,1681289,0.764223,688657039200,9,2621600,0,0,0,0,10.1895,409600
9.8304e+06,1833798,0.764083,751124386400,5,1322400,0,0,0,0,10.1832,409600
1.06496e+07,1986235,0.763938,813562964800,8,2168000,0,0,0,0,10.1781,409600
1.14688e+07,2139167,0.763989,876203697600,12,4020800,0,0,0,0,10.1795,409600
1.2288e+07,2291626,0.763876,938650842400,9,2853600,0,0,0,0,10.177,409600
1.31072e+07,2444423,0.763882,1001236031200,2,448800,0,0,0,0,10.1769,409600
1.39264e+07,2597566,0.76399,1063963600800,8,2709600,0,0,0,0,10.1787,409600
1.47456e+07,2750326,0.76398,1126534304000,9,2912000,0,0,0,0,10.1769,409600
1.55648e+07,2902728,0.763877,1188958542400,6,1304000,0,0,0,0,10.1734,409600
1.6384e+07,3054892,0.763723,1251284384000,5,1427200,0,0,0,0,10.165,409600
1.72032e+07,3207418,0.763672,1313759446400,18,6339200,0,0,0,0,10.1656,409600
1.80224e+07,3359825,0.763597,1376184577600,4,1380800,0,0,0,0,10.1615,409600
1.88416e+07,3512602,0.76361,1438762607200,8,2448800,0,0,0,0,10.1596,409600
1.96608e+07,3665649,0.763677,1501450298400,11,4037600,0,0,0,0,10.1644,409600
2.048e+07,3819088,0.763818,1564299309600,26,9784800,0,0,0,0,10.1637,409600
2.12992e+07,3971251,0.763702,1626625089600,8,2596800,0,0,0,0,10.1633,409600
2.21184e+07,4123975,0.7637,1689181372800,16,5340800,0,0,0,0,10.166,409600
2.29376e+07,4276706,0.763698,1751739871200,16,5460000,0,0,0,0,10.1634,409600
2.37568e+07,4430141,0.763818,1814586795200,14,4692800,0,0,0,0,10.1705,409600
2.4576e+07,4583621,0.763937,1877451724000,4,1076000,0,0,0,0,10.1772,409600
2.53952e+07,4735988,0.763869,1939861236000,5,1496800,0,0,0,0,10.1726,409600
2.62144e+07,4888522,0.763832,2002339293600,6,1775200,0,0,0,0,10.1712,409600
2.70336e+07,5041382,0.763846,2064950368800,21,8300000,0,0,0,0,10.1738,409600
2.78528e+07,5193906,0.76381,2127425003200,22,7905600,0,0,0,0,10.1767,409600
2.8672e+07,5346132,0.763733,2189776267200,5,1448000,0,0,0,0,10.1728,409600
2.94912e+07,5498690,0.763707,2252263552800,6,2328800,0,0,0,0,10.1735,409600
3.03104e+07,5651273,0.763686,2314762257600,6,1620800,0,0,0,0,10.1716,409600
3.11296e+07,5804169,0.763707,2377388747200,9,2561600,0,0,0,0,10.1733,409600
3.19488e+07,5957162,0.763739,2440054081600,9,3160000,0,0,0,0,10.1762,409600
3.2768e+07,6109276,0.76366,2502360507200,11,3448000,0,0,0,0,10.1736,409600
3.35872e+07,6261440,0.763591,2564686719200,6,1562400,0,0,0,0,10.1689,409600
3.44064e+07,6414468,0.763628,2627367464000,11,3134400,0,0,0,0,10.1721,409600
3.52256e+07,6566500,0.763547,2689639512800,4,525600,0,0,0,0,10.1692,409600
3.60448e+07,6719074,0.763531,2752133149600,9,3247200,0,0,0,0,10.1707,409600
3.6864e+07,6871042,0.763449,2814379692800,11,3616000,0,0,0,0,10.1672,409600
