Time,Server_no,Pending_Requests,Pending_req_size,Processed Requests,Processed req size,# Requests Forwarded,Size of Requests Forwarded,# Forwarded Requests Received,Size of Forwarded Requests Received,# Pending Forwarded Requests Received,Size of Pending Forwarded Requests Received,Utilization,Busy Time,Average Service Rate,Average # requests in system,Average Response Time,Average Response Size
8.192e+06,0,138176,100339887488,229473,163839120000,362109,481303564288,0,0,0,0,0.999995,8.19196e+06,0.028012,91440.2,1.52412e+06,1.02155e+06
8.192e+06,1,238826,317545484288,123283,163758080000,0,0,362109,481303564288,238826,317545484288,0.9995,8.1879e+06,0.0150567,97079.5,2.70957e+06,1.32917e+06
8.192e+06,2,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
8.192e+06,3,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
8.192e+06,4,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
1.6384e+07,0,388207,349506817408,458610,327679120000,612757,814532149248,0,0,0,0,0.999997,1.6384e+07,0.0279914,178697,3.04474e+06,1.02202e+06
1.6384e+07,1,366232,486934069248,246525,327598080000,0,0,612757,814532149248,366232,486934069248,0.99975,1.63799e+07,0.0150505,198535,5.41862e+06,1.32929e+06
1.6384e+07,2,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
1.6384e+07,3,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
1.6384e+07,4,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
2.4576e+07,0,463822,366532033920,687797,491519120000,1037292,1378865713152,0,0,0,0,0.999998,2.4576e+07,0.0279866,269221,4.56799e+06,1.02193e+06
2.4576e+07,1,667559,887427633152,369733,491438080000,0,0,1037292,1378865713152,667559,887427633152,0.999833,2.45719e+07,0.015047,296587,8.13087e+06,1.32929e+06
2.4576e+07,2,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
2.4576e+07,3,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
2.4576e+07,4,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
3.2768e+07,0,653534,535125003648,916966,655359120000,1349580,1793838075904,0,0,0,0,0.999999,3.2768e+07,0.0279836,356942,6.08905e+06,1.022e+06
3.2768e+07,1,856631,1138559995904,492949,655278080000,0,0,1349580,1793838075904,856631,1138559995904,0.999875,3.27639e+07,0.0150455,397504,1.08451e+07,1.32918e+06
3.2768e+07,2,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
3.2768e+07,3,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
3.2768e+07,4,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
