Time,Total_reqs_processed,Avg_utilization,total_bytes_processed,total_pending_reqs,total_pending_respSize,total_requests_forwarded,total_size_of_requests_forwarded,total_pending_forwarded_requests,size_of_pending_forwarded_requests,Consolidated average # requests in system,Consolidated Average Response Size
8.192e+06,352756,0.399899,327597200000,377002,417885371776,362109,481303564288,238826,317545484288,188520,470143
1.6384e+07,705135,0.399949,655277200000,754439,836440886656,612757,814532149248,366232,486934069248,377233,470263
2.4576e+07,1057530,0.399966,982957200000,1131381,1253959667072,1037292,1378865713152,667559,887427633152,565808,470245
3.2768e+07,1409915,0.399975,1310637200000,1510165,1673684999552,1349580,1793838075904,856631,1138559995904,754445,470237
4.096e+07,1762560,0.39998,1638317200000,1888790,2093230095744,1755528,2333351817216,1139309,1514233737216,943462,470222
4.9152e+07,2114906,0.399983,1965997200000,2267671,2513248468352,1755528,2333351817216,1016128,1350393737216,1.13262e+06,470241
5.7344e+07,2467419,0.399986,2293677200000,2645211,2931445480832,2283977,3035770974208,1421301,1888972894208,1.3217e+06,470233
6.5536e+07,2819844,0.399987,2621357200000,3024991,3351684181376,2283977,3035770974208,1298039,1725132894208,1.51084e+06,470219
7.3728e+07,3172316,0.399989,2949037200000,3402392,3769951546752,2970887,3948655230976,1861615,2474177150976,1.70001e+06,470212
8.192e+07,3524961,0.39999,3276717200000,3781939,4190090382720,2970887,3948655230976,1738282,2310337150976,1.88931e+06,470200
