Time,Total_reqs_processed,Avg_utilization,total_bytes_processed,total_pending_reqs,total_pending_respSize,total_requests_forwarded,total_size_of_requests_forwarded,total_pending_forwarded_requests,size_of_pending_forwarded_requests,Consolidated average # requests in system,Consolidated Average Response Size
8.192e+06,1526544,0.763273,625273068000,12,4269600,0,0,0,0,10.1965,409600
1.6384e+07,3053029,0.763258,1250521545600,16,5686400,0,0,0,0,10.2044,409600
2.4576e+07,4581202,0.763534,1876461449600,12,3804800,0,0,0,0,10.209,409600
3.2768e+07,6109772,0.763722,2502563404800,8,2483200,0,0,0,0,10.2182,409600
4.096e+07,7639727,0.763973,3129233052000,10,3223200,0,0,0,0,10.2269,409600
4.9152e+07,9166870,0.763906,3754750996000,9,2642400,0,0,0,0,10.2178,409600
5.7344e+07,10692885,0.763778,4379806342400,18,6726400,0,0,0,0,10.2119,409600
6.5536e+07,12218516,0.763657,5004705191200,8,2239200,0,0,0,0,10.203,409600
7.3728e+07,13745667,0.763648,5630226052800,12,4065600,0,0,0,0,10.2003,409600
8.192e+07,15271255,0.763563,6255106629600,6,1876000,0,0,0,0,10.1929,409600
