Time,Total_reqs_processed,Avg_utilization,total_bytes_processed,total_pending_reqs,total_pending_respSize,total_requests_forwarded,total_size_of_requests_forwarded,total_pending_forwarded_requests,size_of_pending_forwarded_requests,Consolidated average # requests in system,Consolidated Average Response Size
8.192e+06,648579,0.833756,662585990200,82328,84281942984,0,0,0,0,41157.1,1.02184e+06
1.6384e+07,1296459,0.833636,1324944852768,164351,167820462304,0,0,0,0,82329.7,1.02188e+06
2.4576e+07,1944452,0.833546,1987160802216,246828,252162284632,0,0,0,0,123435,1.02192e+06
3.2768e+07,2593262,0.833686,2650075520880,328924,336035348624,0,0,0,0,164550,1.02188e+06
4.096e+07,3241848,0.833705,3312685898760,410969,419789575160,0,0,0,0,205581,1.02181e+06
4.9152e+07,3891448,0.834027,3977044057360,492838,503252804336,0,0,0,0,246633,1.0219e+06
5.7344e+07,4539677,0.834,4639703030272,575476,587740698112,0,0,0,0,287714,1.02195e+06
6.5536e+07,5189550,0.834119,5303417260520,658100,672153777688,0,0,0,0,328866,1.02188e+06
7.3728e+07,5836758,0.833911,5964579574592,739767,755892690112,0,0,0,0,369995,1.02189e+06
8.192e+07,6484161,0.833793,6626199342336,821989,839983837952,0,0,0,0,411093,1.0219e+06
