Time,Total_reqs_processed,Avg_utilization,total_bytes_processed,total_pending_reqs,total_pending_respSize,total_requests_forwarded,total_size_of_requests_forwarded,total_pending_forwarded_requests,size_of_pending_forwarded_requests,Consolidated average # requests in system,Consolidated Average Response Size
8.192e+06,730217,0.922751,746425459888,499,526277456,98981,133188005888,100,133529600,496.151,1.05516e+06
1.6384e+07,1460924,0.922771,1492888032192,493,536013888,198493,267166060544,89,120182968,490.279,1.05504e+06
2.4576e+07,2191328,0.922624,2238916407544,428,451960584,296420,398923128832,105,141224840,485.977,1.05476e+06
3.2768e+07,2922640,0.923028,2986743505272,557,611815048,397269,534712172544,155,208613464,487.639,1.05515e+06
4.096e+07,3653025,0.922901,3732832449328,474,495226064,498257,670703333376,48,61845504,488.596,1.05518e+06
4.9152e+07,4383700,0.922898,4479384330920,565,613993816,597472,804279148544,119,157408384,489.532,1.05514e+06
5.7344e+07,5115562,0.923122,5227420630552,461,486138344,698026,939585646592,74,97405720,490.109,1.05522e+06
6.5536e+07,5846425,0.923104,5974063915920,395,426220656,797327,1073365008384,31,41876360,491.237,1.05518e+06
7.3728e+07,6576074,0.923012,6720042322104,550,559675208,896636,1207064645632,74,96261032,490.77,1.05522e+06
8.192e+07,7306491,0.922956,7466181633648,481,513603984,995953,1340611534848,116,155929480,491.038,1.05516e+06
