Time,Total_reqs_processed,Avg_utilization,total_bytes_processed,total_pending_reqs,total_pending_respSize,total_requests_forwarded,total_size_of_requests_forwarded,total_pending_forwarded_requests,size_of_pending_forwarded_requests,Consolidated average # requests in system,Consolidated Average Response Size
8.192e+06,730186,0.911527,746722989760,29,25110848,7927,10521612288,0,0,27.3789,1.02591e+06
1.6384e+07,1461981,0.912146,1494460016416,22,21760224,15974,21257998336,0,0,27.9021,1.02555e+06
2.4576e+07,2191951,0.911696,2240584469568,36,34137024,23948,31874318336,0,0,27.8462,1.02552e+06
3.2768e+07,2923134,0.911753,2987633128480,5,4361184,31915,42490482688,0,0,27.8689,1.02541e+06
4.096e+07,3653843,0.911687,3734271998624,17,17016160,39857,53093785600,0,0,27.8967,1.02536e+06
4.9152e+07,4384078,0.911607,4480733003776,34,30507008,47803,63648813056,0,0,27.8423,1.02538e+06
5.7344e+07,5114758,0.91161,5227533748768,23,20600288,55768,74253594624,0,0,27.8685,1.02539e+06
6.5536e+07,5845816,0.911624,5974420219840,38,38709312,63792,84953919488,0,0,27.8377,1.02534e+06
7.3728e+07,6575875,0.911621,6721198358784,24,22564608,71742,95528542208,0,0,27.8122,1.02544e+06
8.192e+07,7305887,0.911588,7467726055168,23,21911808,79636,106039865344,0,0,27.7951,1.02549e+06
